[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海长征医院', '上海市', '公立/综合医院', '三级甲等', 244, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['武警上海市总队医院', '上海市', '公立/综合医院', '三级甲等', 15, 389]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市第一妇婴保健院西院', '上海市', '公立/综合医院', '三级甲等', 1500, 800]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['复旦大学附属华东医院', '上海市', '公立/综合医院', '三级甲等', 2200, 1300]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市眼病防治中心', '上海市', '公立/专科医院', '三级甲等', 24, 20]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市儿童医院', '上海市', '公立/综合医院', '三级甲等', 1500, 150]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['同济大学附属同济医院', '上海市', '公立/综合医院', '三级甲等', 0, 1500]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市中医医院', '上海市', '公立/综合医院', '三级甲等', 0, 530]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市第十人民医院', '上海市', '公立/综合医院', '三级甲等', 2722, 1800]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市第一人民医院', '上海市', '公立/综合医院', '三级甲等', 3584, 1820]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海中医药大学附属岳阳中西医结合医院', '上海市', '公立/综合医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海交通大学医学院附属新华医院', '上海市', '公立/综合医院', '三级甲等', 2500, 2090]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['第二军医大学附属长海医院', '上海市', '公立/综合医院', '三级甲等', 0, 2100]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['第二军医大学附属东方肝胆外科医院', '上海市', '公立/综合医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市肺科医院', '上海市', '公立/专科医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海东方肝胆医院', '上海市', '公立/综合医院', '三级甲等', 145, 712]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['复旦大学附属华山医院西院', '上海市', '公立/综合医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['复旦大学附属儿科医院', '上海市', '公立/专科医院', '三级甲等', 231, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['华东医院闵行门诊部', '上海市', '公立/综合医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海交通大学医学院附属仁济医院', '上海市', '公立/综合医院', '三级甲等', 2511, 1650]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海东方医院', '上海市', '公立/综合医院', '三级甲等', 2920, 1800]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['复旦大学附属华山医院东院', '上海市', '公立/综合医院', '三级甲等', 0, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市第七人民医院', '上海市', '公立/综合医院', '三级甲等', 0, 730]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海中医药大学附属曙光医院（张江分院）', '上海市', '公立/综合医院', '三级甲等', 149, 0]]
[['医院', '防疫区域', '机构性质', '机构等级', '医护规模', '病床数量'], ['上海市公共卫生临床中心', '上海市', '公立/综合医院', '三级甲等', 0, 660]]
